ISBN,Year,Subjects,Publisher,Language
1551664380,1986,"['Fiction', 'Fiction, romance, general']",MIRA Books,English
0140188932,1995,"['Fiction', 'History']",Penguin Classics,French
074900388X,1998,"['Fiction, mystery & detective, general', 'Landon, arnold (fictitious character), fiction']",Allison & Busby,unknown
074756146X,2003,"['Fiction', 'World War, 1939-1945']",Bloomsbury,unknown
0747558167,2002,"['Biography', 'Childhood and youth']",Bloomsbury Publishing PLC,English
0747557837,2002,"['Human-alien encounters', 'Life on other planets']",Bloomsbury,English
155166528X,1999,"['Fiction, sagas', 'Middle east, fiction']",Mira,English
0140196102,2000,"['Simplicity', 'Conduct of life']",Penguin (Non-Classics),English
0747531730,1997,"['Motion picture plays', 'Motion pictures']",Trafalgar Square,unknown
0747531544,1997,"['English fiction', 'Fiction, general']",Bloomsbury Publishing PLC,unknown
0747274584,2000,"['Adultery', 'Cookery']",Headline,English
1551665778,2000,"['Fiction, suspense', 'California, fiction']",Mira,English
0140230386,1993,"['Biography', 'Case studies']",Penguin Books,English
1551666154,2000,"['Man-woman relationships', 'Romance fiction']",Mira,English
0140231668,1994,"['English literature', 'Fiction']","Penguin Books, Limited",English
0751310158,1993,"['Evolution, juvenile literature', 'Evolution']",Dorling Kindersley Publishers Ltd,German
0061054127,1997,"['Fantasy fiction', 'American Fantasy fiction']",Eos,English
0749932872,2002,"['Pregnant women', 'Fiction']",Piatkus Books,English
0749931884,2000,,Piatkus Books,unknown
0749931183,1999,"['Russians', 'Fiction']",Piatkus Books,unknown
0749920297,1999,"['Queen (Musical group)', 'Rock groups']",Piatkus,English
0749720409,1995,"['Juvenile fiction', 'Railroad trains']",Mammoth,unknown
1551660474,1996,"['American fiction', 'Fiction, romance, contemporary']",Mira,English
1551661764,1996,"['Fiction', 'Suspense']",Mira,English
0061053473,1996,"['Government investigators', 'Fiction, science fiction, general']",Harper Paperbacks,English
0061053333,1997,"['Vampires', 'Erotic literature']",HarperPrism,English
1551662876,1997,"['Fiction', 'contemporary romance']",Mira,English
0749311096,1993,"['Humor (Fiction)', 'Fiction']",Mandarin,English
1551666367,1999,"['Fiction', 'Survival after airplane accidents, shipwrecks']","Harlequin Enterprises, Limited",English
1551666553,2003,"['Fiction', 'Sisters']",Mira Books,English
0743435737,2002,"['Space opera', 'Fiction']",Baen,English
0743450361,2003,"['Scottish Short stories', 'Scottish fiction']",Pocket Books,English
074346348X,2003,"['Fiction, romance, historical, general']",Pocket Books,English
0743463315,2003,"['Detective and mystery stories', 'Fiction']",Pocket,English
0743458214,2003,"['Fiction', 'American Fantasy fiction']",IBooks,English
074345779X,2003,"['Secrecy', 'Death']",Atria Books,English
0061050679,1998,"['United States', 'United States. Federal Bureau of Investigation']",HarperEntertainment,English
0743456858,2003,"['Violinists', 'Fiction']",Atria,English
0140241256,1995,"['Teenage girls', 'Self-perception in adolescence']",Penguin Books,English
0743464893,2003,"['Corrupt practices', 'Fiction']",Pocket Books,English
0140243895,1996,"['Boys', 'Mothers and sons']",Penguin Books,English
0743443942,2003,"['Sisters', 'Weddings']",Pocket Books,English
0743442725,2002,"['Social life and customs', 'Seduction']",Pocket Star Books,English
0743438035,2002,"['Arranged marriage', 'Fiction']",Sonnet Books,English
074343787X,2003,"['Fiction, romance, historical, general']",Pocket Books,English
0743437845,2002,"['Fiction', 'Man-woman relationships']",Pocket Books,English
0140246835,1995,"['History', 'Motherhood in popular culture']",Penguin (Non-Classics),English
0743436024,2003,"['Fiction, fantasy, general']",Baen,English
074346625X,2003,"['Apologizing', 'Success']","Simon & Schuster, Incorporated",English
0747241406,2001,"['Fiction', 'Police']",Headline Book Publishing,English
074353364X,2003,"['Politics and government', 'Scientists']",Simon & Schuster Audio,Russian
0061052434,1997,"['Science Fiction', 'Fiction']",HarperPrism,English
1551666731,2003,"['Fiction', 'Women photographers']",MIRA Books,English
0747232024,1990,,Headline Book Publishing,unknown
0744561019,1998,"['Babies in fiction', 'Ficción juvenil']",Walker Books Ltd,Spanish
0744303567,2002,"['Fiction', 'Mystery']",SynergEbooks,English
0743525868,2002,"['horror', 'stroke']",Simon & Schuster Audio,English
0140239340,1995,"['Animal ecology', 'Description and travel']",Penguin Books,English
006105206X,1995,"['American Science fiction', 'Authorship']",HarperPrism,English
0140234438,1994,,ROC,English
0743483510,2004,"['Imaginary Voyages', 'Star trek, Deep Space Nine (Television program)']",Pocket Books,English
155166707X,2003,"['Fiction, romance, historical', 'Oklahoma, fiction']",Mira,English
0743474295,2003,"['United States', 'Retired military personnel']",Pocket Star Books,English
0743471458,2003,"['American Science fiction', 'Space warfare']",Baen,English
0140236686,1994,"['Fiction', 'History']",Penguin (Non-Classics),English
0743470826,2003,"['Married people', 'Rain forests']",Washington Square Press,English
0743469984,2003,"['Conspiracy', 'Fiction']",Pocket Star Books,English
0743467205,1993,"['Fiction', 'Orphans']",Pocket Books,English
1556615310,1995,"['Mothers', 'Babysitting cooperatives']",Bethany House,English
1562828819,1993,"['Fiction', 'Young women']",Hyperion,English
014036739X,1996,"['English Fantasy fiction', 'Magic']",Puffin,English
0684862980,1999,"['American fiction', 'Women authors']",Fireside,English
0684862336,1999,"['Social life and customs', '20th century']",Simon & Schuster,English
1560761210,1991,"['Imaginary wars and battles in fiction', 'Imaginary wars and battles']",TSR,English
1560762365,1992,"['Witches, fiction', 'Imaginary wars and battles in fiction']",TSR,English
1560763280,1992,"['Cadderly (Fictitious character)', 'Fiction']",TSR,English
0684857081,1999,"['Motion pictures', 'Motion picture producers and directors']",Simon & Schuster,English
0684866102,2000,"['Fiction', 'Kidnapping']",Simon & Schuster,English
1560763523,1992,"['Horror', 'Fiction']",TSR,English
0684856360,1999,"['Publicité sur Internet', 'Relationship marketing']",Simon & Schuster,English
0061020257,2002,"['Space ships', 'Science Fiction']",EOS,English
1560768258,1995,['fantasy fiction'],TSR,English
0684852705,2003,"['Influence', 'Acting teachers']",Scribner,English
068485029X,1998,"['Man-woman relationships', 'Fiction']",Simon & Schuster,English
0684849119,1999,"['Politics and government', 'Biography']",Scribner,English
014037454X,1997,"['Classic Literature', 'Adventure and adventurers']",Puffin,English
0140367217,1994,"['Toy and movable books', 'Fiction']",Puffin,English
0684845601,1998,"['Psychology', 'Serial murders']",Scribner,English
0688098266,1990,"['Fairy tales', 'Fiction']",Books of Wonder,English
155936078X,1994,"['Political plays', 'Historical drama']",Theatre Communications Group,English
1559362022,2002,"['Drama', 'Success']",Theatre Communications Group,English
0688091490,1992,"['Groupies', 'Biography']",W. Morrow,English
0140363610,1994,"[""Children's fiction"", 'Elephants, fiction']",Puffin Books,Chinese
1559583126,1993,"['Discipline of children', 'Child Development And Rearing']",Prima Pub.,English
1559585854,1994,"['Caricatures and cartoons', 'Cats']",Prima Pub.,English
0688073603,1988,"['Fables', 'Adaptations']",Morrow Junior Books,English
1559702834,1995,"['Fiction', 'Homes and haunts']",Arcade Publ.,English
1559703040,1994,"['Australian poetry', 'Women authors']",Arcade Pub.,English
0688039693,1985,"['Leadership', 'Management']",Morrow,English
0140366695,1994,"['Gold discoveries', 'Bienestar']",Puffin Books,English
0688014291,1982,"['Management', 'Administración']",Morrow,English
0688003095,1974,"['Fiction, general', 'Fiction']",Morrow,English
1559722002,1993,"['Biography', 'Parapsychology in criminal investigation']",Carol Pub. Group,English
0684872870,2002,"['Kernwaffe', 'Forschung']",Simon & Schuster,English
1559723793,1996,"['Singers', 'Biography']",Carol Publ. Group,English
0684869489,2001,"['Death', 'Psychological fiction']",Scribner,English
0684844400,1997,['American wit and humor'],Simon & Schuster,English
1559210338,1992,"['Peace', 'World War, 1939-1945']",Moyer Bell Ltd.,English
1562800868,1995,"['Women authors', 'American Love stories']",Naiad Press,English
0684814234,1996,"['Abduction', 'Child abuse']",Fireside,English
0684813483,1998,"['Pastry', 'Pies']",Scribner,English
0684813475,1995,"['American Erotic stories', 'Erotic stories, American']",Scribner Paperback Fiction,English
1562475878,1998,"['Aunts', 'Fiction']",Pleasant Co.,English
1562477625,1999,"['Brothers and sisters', 'Fiction']",Pleasant Company Publications,English
1562477641,1999,"['Sioux Indians', 'Frontier and pioneer life']",Pleasant Co. Publications,English
1562614606,1999,"['Guidebooks', 'Europe, guidebooks']",J. Muir Publications,English
1562615351,2000,"['Civilization', 'Guidebooks']",Avalon Travel Pub.,English
0684803615,1995,"['World history', 'Long Now Manual for Civilization']",Bantam Press,English
1562314416,1998,,Hot Off the Press Inc,unknown
0684803534,1995,"['Computer networks', 'Computers and civilization']",Simon & Schuster,English
1562823485,1993,"['Fairy tales', 'Balls (Parties)']",Hyperion,English
0684802236,1996,"['Relocation (Housing)', 'Cities and towns']",Simon & Schuster,English
1562827030,1993,"['Drehbuch', 'Piano (Screenplay)']",Miramax Books,English
0684193434,1991,"['Authorship', ""Children's literature""]",Scribner,English
068418916X,1988,"['society', 'Survival']",Atheneum,English
068481823X,1997,"['American Erotic literature', 'Erotic stories']",Simon & Schuster,English
0684818892,1996,"['Fiction', 'Families']",Scribner Paperback Fiction,English
156138626X,1995,"['Miniature books', 'Specimens']",Running Press,English
0684839458,1998,"['Fiction', 'Utopias']",Scribner,English
0684839016,1998,"['Selection', 'Psychology']",Free Press,English
1561581577,1996,['Gardening'],Taunton,English
0140380442,1997,"['Mystery fiction', 'Detective and mystery stories']",Puffin Books,English
0140380469,1997,"['Homosexuality', 'Teacher-student relationships']",Puffin,English
0684835622,1998,"['Biography', 'American Dramatists']",Simon & Schuster,English
1561633259,2002,"['War on Terrorism, 2001-2009', 'Description and travel']","Nantier, Beall, Minoustchine",English
0684832860,1997,"['Animals', 'Fiction']",Scribner,English
0684831570,1998,"['Illegal aliens', 'Trials (False imprisonment)']",Simon & Schuster,English
0684830787,1997,"['Stepparents', 'Joint custody of children']",Fireside,English
0140383948,1997,"['Brothers and sisters', 'Family']",Puffin Books,English
0684826194,1996,"['Fiction', 'Socialites']",Scribner Paperback Fiction,English
0684826178,1996,"['Social conditions', 'Family relationships']",Simon & Schuster,English
1561792462,,,Focus on the Family Publishing,unknown
0140384774,1997,"['Dahl, roald, 1916-1990']",Puffin,English
068482471X,1996,"['Philosophy', 'Evolution (Biology)']",Simon & Schuster,English
1559210915,1993,"['Fiction in English', 'Women peasants']",Moyer Bell,English
0688109136,1993,"['American Science fiction', 'English Science fiction']",W. Morrow and Co.,English
014028124X,2004,"['College students', 'Fiction']",Penguin Global,English
1557739749,1994,['Serial murders'],Diamond/Charter,unknown
0061031690,2002,"['Swindlers and swindling', 'Death and burial']",Avon Books,English
0708880525,1979,"['Fantasy', 'Fiction in English']",Futura Publications,English
0708832741,1987,"['Fiction', 'Fiction, general']",Futura,English
0706369599,1991,['Aromatherapy'],Ward Lock,English
0704349469,1998,"['Children with disabilities', 'Fiction']","Women's Press, Limited, The",English
0702232106,2001,"['Australians', 'Fiction']",University of Queensland Press,English
0702228230,1996,"['Fiction', 'Interpersonal relations']",University of Queensland Press,English
0702212318,1976,"['Literary collections', 'Frontier and pioneer life']",University of Queensland Press,English
0712345337,1997,"[""Children's stories, English"", 'History and criticism']",The British Library,English
0140288236,1999,"['Fiction, general']",Penguin Books Ltd,unknown
0698119320,2002,"['Juvenile Fiction', 'Fiction']",Puffin,Portuguese
014028852X,2000,"['Interpersonal communication', 'Self-Help & Practical Interests']",Penguin (Non-Classics),English
0140291814,2000,"['History', 'Fiction']",Penguin Books,English
0696204800,1996,"['Patterns', 'Quilting']",Meredith Books,und
1558502602,1993,"['Outdoor games', 'Creative activities and seat work']","B. Adams, Inc.",English
0696003422,1973,"['Medicine', 'Popular Works']",Better Homes and Gardens Books,English
0711930007,1993,"['Biography', 'Rock musicians']",Omnibus,English
1558503099,1993,"['History', 'Anecdotes']",Bob Adams,English
0140281517,1999,"['Fiction, general']",Penguin Uk,unknown
0140281622,1999,"['Labor camps', 'Depressions']",Penguin Books,English
0722539878,2000,"['Cosmetics industry', 'Body Shop (Firm)']",Thorsons,English
0722538650,2000,"['Doctrines', 'Religious aspects of Compassion']",Thorsons,English
1556619952,1997,"['Humor', 'Psychology']",Bethany House Publishers,English
0722532229,1995,['Aromatherapy'],Thorsons,English
1556709625,1999,"['Communication of technical information', 'Comunicación de la información técnica']",Joost Elffers Books,English
1557091552,1991,"['American Detective and mystery stories', ""Children's stories, American""]",Applewood Books,English
0140282653,1999,"['Virginia, history', 'Fiction, historical, general']",Penguin (Non-Classics),English
1557100160,1988,"['Communication in marriage', 'Interpersonal communication']",Arbor House,English
0718145305,2001,"['Social life and customs', 'Journalism']",Michael Joseph,English
0140283374,2000,"['Romance', 'Classic Literature']",Penguin Books,English
0718143515,1998,"['Horse racing in fiction', 'Open Library Staff Picks']",Michael Joseph,English
0716730944,1998,"['Science', 'Annals of improbable research']",W.H. Freeman,English
071671017X,1978,"['Puzzles', 'Problem solving']",Scientific American/Freeman,English
0140285598,1993,"['Romance', 'Classic Literature']",Penguin Books,English
1558504265,1994,"['Hand games', 'Games']",B. Adams,English
0688112439,1994,"['Sex differences', 'Language']",W. Morrow,English
0688159176,1998,"['Fiction', 'Presidents']",William Morrow and Co.,English
0689818726,1995,"['Fathers and daughters', 'Fiction']",Simon & Schuster,English
0140317163,1985,"['Fiction', 'Sisters']",Puffin Books,English
1558704566,1997,"['Acting', 'Technique']",Betterway Books,English
0689713878,1990,"['Fiction', 'Single-parent families']",Aladdin Books,English
0140328831,1989,"['British', 'Fathers and daughters']",Puffin,English
1558743421,1995,"['Visualization', 'Stress management']",Health Communications,English
0688165117,1999,"['Biography', 'Private investigators']",William Morrow & Company,English
0688162878,1999,"['Male homosexuality', 'Gay men']","Rob Weisbach Books, Morrow",English
0688160999,1998,"['Human ecology', 'Technological innovations']",Perennial (HarperCollins),English
0689822855,1998,"['Fiction', 'Juvenile fiction']",Aladdin Paperbacks,English
1558747117,1999,"['Anecdotes', 'Pet owners']","Health Communications, Inc.",English
0688152473,1998,"['Popular works', 'Brain']",William Morrow,English
0688151175,1997,"['Murder victims', 'Trials, litigation']",William Morrow,English
1558747478,2000,"['Parenting', 'Anecdotes']",Health Communications,English
0140350713,1986,"['Exiles', 'Adventure stories']",Puffin,English
0688133398,1998,"['Cartoonists', 'Biography']",W. Morrow & Co.,English
1558749829,2002,"['Conduct of life', 'Moral and ethical aspects']",Health Communications,English
1558611495,1996,"['Young women', 'West Indian Americans']",The Feminist Press,English
0689824297,1999,"['Christian martyrs', 'Juvenile literature']",Aladdin,English
006103116X,2000,"['Wrestlers', 'World Wrestling Federation']",Avon Books,English
1558505814,1996,"['Management', 'New business enterprises']",Adams Pub.,English
0694516201,1995,"['Fiction, science fiction, general', 'Mulder, fox (fictitious character), fiction']",HarperAudio,English
0691096570,2002,"['Correspondence', 'Mathematicians']",Princeton University Press,English
0690134509,1943,"['Fiction', 'Friendship']",T. Y. Crowell,English
0690015283,1978,"['Childbirth', 'Popular works']",Crowell,English
0140294600,2000,"['Bridemaids', 'Humor']",Viking Studio,English
0689860064,2003,"['Fiction, fantasy, general', 'Pern (imaginary place), fiction']",Aladdin Paperbacks,English
0689858000,2003,"['Intimidación en la escuela', 'High schools']",Simon Pulse,English
0689832559,2000,"[""Children's fiction"", 'Magic, fiction']",Atheneum Books for Young Readers,English
1558531211,1992,"['Conduct of life', 'Happiness']",Rutledge Hill Press,English
014029791X,2000,,Penguin Books (NZ),unknown
0689855451,2003,"['Fiction', 'Friendship']",Simon Pulse,English
0689852045,2002,"['Fiction', 'Fantasy']",Aladdin,English
0689850859,2002,"['Islands', 'Treasure troves']",Simon Pulse,English
0689847432,2003,"['Fantasy', 'Specimens']",Little Simon,English
0689841744,2001,"['Television', 'Marine animals']",Simon Spotlight/Nickelodeon,English
0689841345,2002,"['Toys', 'Fiction']",Atheneum/Anne Schwartz Books,English
0689833806,2000,"['Bears', 'Toilet training']",Simon Spotlight,English
1586481398,2002,"['American Personal narratives', 'Yugoslav War, 1991-1995']",Public Affairs,English
0064440583,1984,"[""children's fiction"", ""children's short stories in english""]",HarperTrophy,English
1903809258,2001,"['Television programs', 'Reviews']",Atlantic Books,unknown
0525937420,1994,"['Fiction', 'Rachel Gold (Fictitious character)']",Dutton,English
0380732734,2000,"['Mcgarr, peter (fictitious character), fiction', 'Fiction, mystery & detective, police procedural']",Avon,English
0440224101,1998,,Dell,English
1903116066,2000,"['Cross-stitch', 'Patterns']",Cima,English
0373123515,2003,"['Spaniards', 'Illegitimate children']",Harlequin Books,English
0449207277,1985,"['Large type books', 'Fiction, romance, historical, general']",Fawcett Crest,English
1903650089,2002,"['Biography', 'Travel']",Pocket Books,English
0525246940,1988,"['Adolescence', 'Biography']",Dutton,English
1904492118,2003,,Bewrite Books,English
0307010619,1997,"['Deer', 'Juvenile fiction']",Golden Book,English
0525452141,1994,"['Teddy bears', 'Tail']",Dutton Children's Books,English
1928568033,1999,"['Case studies', 'Sexual behavior']",Retro Systems,English
030702041X,1991,"['Walt Disney Studio', ""Walt Disney's""]","Golden Press: Western Publishing Company, Inc.",English
0525440984,1984,"['Juvenile fiction', 'Science fiction']",E.P. Dutton,English
0525401156,1978,"['Winter', 'Juvenile poetry']",Dutton,English
0525937579,1994,"['Humor', 'Cats']",Dutton,English
0060185406,2003,"['Nonfiction', 'Science']",Ecco,English
0312867182,2000,"['Fiction', 'Brain']",Tor,English
8437607000,1990,,Ediciones Catedra S.A.,Spanish
1896496040,1997,,Roseway,English
3453088883,1995,"['fiction', 'horror tales']",Wilhelm Heyne Verlag,German
1896860176,1998,,Ekstasis Editions,English
0307001040,1995,"['Fantasy', 'Juvenile fiction']",Golden Books,English
0373122551,2002,"['Fiction, Romance, Contemporary', 'Fiction, romance, general']",Harlequin,English
0525944400,1999,"['Fiction', 'Psychologists']",Dutton,English
1896951015,1997,"['Canadian fiction', 'Poetry (poetic works by one author)']",Cormorant Books,English
1898617066,1995,"['Etiquette', 'Drinking customs']",Copper Beech Publishing Ltd,unknown
1899712194,1999,"['Puzzles', 'Miscellanea']",Lagoon Books,English
0525942076,1998,"['Fiction', 'Inheritance and succession in fiction']",Dutton,English
0060502320,2002,"['Fiction', 'Daredevils']",Avon Books,English
0380733358,1998,"['English Spy stories', 'Fiction']",Avon Books,English
0525249907,1991,"['Science', 'Popular works']",Truman Talley Books/Dutton,English
0374512183,1975,['Continental european fiction (fictional works by one author)'],"Farrar, Straus and Giroux",English
0307098206,1982,"['Christmas cookery', 'Christmas cooking']",Golden Press,English
0520213092,1998,"['Autism in children', 'Autistic Disorder']",University of California Press,English
0307045420,1986,"['Texts', 'English Folk songs']",Golden Books,English
193044804X,2001,"['Tables', 'Caloric content']",Family Health Publications,English
0307046117,1994,"['Nativity', 'Bible stories']",Golden books,English
0307061361,1991,"['Juvenile fiction', 'Pigs']",Golden Books,English
0440226694,2000,"['African Americans', 'Fiction']",Dell Laurel-leaf,English
0517887290,1995,"['Mapas mundiales', 'Continentes perdidos']",Crown publishers,English
1931391327,2001,,Booklocker.com,English
0060392169,1998,"['Popular works', 'Health']",ReganBooks,English
0307020711,1991,"['Christmas', 'Christmas stories']",Western Pub. Co.,English
0312865848,1998,"['Fiction', 'Dinosaurs']",Tor,English
0373168993,2001,"['Fiction, romance, general']",harlequin,English
0312865090,1999,"['Fiction, fantasy, general', 'Fiction, visionary & metaphysical']",Tor Books,English
0316713902,1962,"['Fiction', 'Ships']","Little, Brown",English
8484502414,2002,"['Utopias', 'Brainwashing']",Debolsillo,Spanish
0374517886,1983,"['Fiction, short stories (single author)', 'Jews, fiction']","Farrar, Straus and Giroux",English
0373164386,1992,"['Fiction, general', 'Fiction']",harlequin,English
0521287235,1985,"['Composition and exercises', 'Computer-assisted instruction for foreign speakers']",Cambridge University Press,English
052512800X,1981,"['American literature', 'Hotels']",Dutton,English
1929998309,2002,"['Comics & graphic novels, general']",Oni Press,English
0523485360,1982,"['American Horror tales', 'Fiction, horror']",Tor Books,English
193000902X,1999,"[""Children's fiction"", 'Friendship, fiction']",Image Cascade Publishing,English
8585622032,1993,,Notrya Editora,Portuguese
0373763034,2000,"['Fiction, romance, general']",Silhouette,English
0523418264,1982,"['Fiction', 'Death and burial']",Pinnacle Books,English
0449206998,1986,"['Herbalists', 'Monks']",Fawcett Crest,English
0521632943,1999,"['Communication', 'Psychological aspects']",Cambridge University Press,English
0521563305,1999,"[""Gödel's theorem"", 'Philosophy']",Cambridge University Press,English
0521425069,1993,"['Drama', 'Chastity']",Cambridge University Press,English
0440225639,2000,"['Brand name products', 'Composition']",Dell Pub.,English
0373153376,2001,,Harlequin,English
0307021459,1993,"['Fiction', 'Chipmunks']",Western Publishing Co.,English
0373163843,1991,"['Fiction, general']",Harlequin,English
0521294541,1984,"['Drama', 'Othello (Fictitious character)']",Cambridge University Press,English
0307021653,1987,"['Fiction', 'Talent shows']",Golden Book,English
0380753944,1987,"['Holocaust, Jewish (1939-1945)', 'Sobibór (Concentration camp)']",Avon Books (Mm),English
0517702606,1998,"['Biography', 'Motion picture actors and actresses']",Crown Publishers,English
0020088248,1988,"['Police', 'Alan Grant (Fictitious character)']",Collier Books,English
0380766590,1991,"['Love, literary collections']",Avon Books (Mm),English
029595289X,1973,"['Biography', 'Filipino American migrant agricultural laborers']",University of Washington Press,English
0295956453,1979,"['Art', 'Indian art']",University of Washington Press,English
843509975X,2003,"['American fiction (fictional works by one author)', 'Open Library Staff Picks']",Edhasa,Spanish
0312869649,1999,"['Clergy', 'Catholic Church']",Tom Doherty Associates Book,English
0373094752,1988,"['1980s', 'Contemporary Fiction']",Silhouette Books,English
037309230X,1985,"['Romance', 'Contemporary Romance']",silhouette,English
0297784757,1984,"['History, modern']",Orion Publishing Co,unknown
0373093829,1987,,silhouette,English
3453129393,1998,,Heyne,German
0373094515,1988,"['Contemporary Fiction', 'Romance Fiction']",silhouette,English
0440211166,1992,"['Fiction', 'Private investigators']",Dell,English
0380772523,1995,"['Fiction, romance, historical, general']",Avon Books (Mm),English
0340230282,1978,"['Large type books', 'Fiction in English']",Coronet,English
1891830090,1999,"['Comic books, strips', 'Turtles']",Top Shelf Productions,English
0373077947,1997,"['Fiction, general']",Silhouette,English
0380772108,1995,"['Women detectives', 'Bed and breakfast accommodations']",Avon Books,English
0451119894,1982,"['Fiction in English', 'Horror fiction']",Signet,English
0440208092,1991,"[""Children's fiction"", 'Mystery and detective stories']",Dell,English
8434811634,1998,,Ediciones SM (Gran Angular),Spanish
189206118X,2002,,Future Tense Books,English
3453150295,1999,,Heyne,unknown
0380769328,1993,"['Women detectives', 'Fiction']",Avon,English
0312870361,2003,"['Magic', 'Fiction']",Tor Books,English
0380768127,1993,"['Fiction, romance, general']",Avon Books,English
0373094639,1988,"['Contemporary Fiction', 'Romance Fiction']",Silhouette Books,English
0380755386,1988,"['Societies', 'Canadian fiction']",Avon Books (Mm),English
3453090578,1995,"['first-person narrative', 'post-traumatic stress disorder']",Wilhelm Heyne Verlag,German
8437605180,1985,,Ediciones Cátedra,Spanish
0060505869,2002,"['American Novelists', 'Biography']",Harper Paperbacks,English
0525947388,2003,"['Pennsylvania', 'Fiction']",Dutton,English
0304353884,2000,"['Italian Cooking', 'Cooking, italian']",Cassell P L C,English
0525947051,2003,"['Dismas Hardy (Fictitious character)', 'Detective and mystery stories']",Dutton,English
1893896048,1999,"['Fiction', 'Vampires']",ImaJinn Books,English
0440219752,1997,"['Juvenile fiction', 'Caves']",Bantam Doubleday Dell Pub. Group,English
037311107X,1988,,Harlequin Books,English
0440220408,1997,"['Lighthouses', 'Juvenile fiction']",Dell,English
0440216583,1995,"['Chronic pain', 'Alternative medicine']",Dell,English
0373113641,1991,"['Fiction, romance, contemporary', 'Fiction, general']",harlequin,English
0304923710,1968,"['Politics and government', 'Islands']",Cassell,English
0374507481,1988,"['Students', 'Fiction']","Farrar, Straus and Giroux",English
0451194047,1999,"['Fiction', 'Intelligence officers']",Signet,English
0440220947,1996,"['Coyote (Legendary character)', 'Indians of North America']",Dell,English
0525945792,2001,"['Change (Psychology)', 'Self-Improvement']",Dutton Adult,English
0380755394,1989,"['Police spouses', 'Janet Rhys (Fictitious character)']",Avon Books,English
0316693316,1996,"['Fiction', 'Golfers']","Little, Brown and Co.",English
0373109040,1986,"['Fiction, Romance, Contemporary', 'Inheritance and succession, fiction']",Harlequin Books,English
0380756501,1989,"['Fiction, science fiction, general']",Avon,English
0440216591,1995,"['Mental Depression', 'Stress (Psychology)']",Dell,English
0380761688,1991,"['Fiction, Romance, Historical']",Avon,English
8437601614,1987,"['Animals in literature', 'Donkeys']",Cátedra,Spanish
0340215895,1976,"['series:Astérix', 'Graphic novels']",Distribooks Inc,Portuguese
0380758962,1990,"['Dinosaurs', 'Encyclopedias']",Avon Books,English
0299160343,1998,"['Social life and customs', 'Folklore']",University of Wisconsin Press,English
3257231512,2000,"['Ehefrau', 'Ehekonflikt']",Diogenes Verlag,German
0300001479,1964,"['Wills', 'Scientists']",Yale University Press,English
0373097840,1992,,silhouette,English
325723158X,2000,,Diogenes Verlag,German
1892253038,1999,"['Centaurs', 'Comic books, strips']",Fine Line Pr,English
0440217768,1999,"['College students', 'Women detectives']",Dell,English
0440217970,1995,"['Artists', 'Fiction']",Dell,English
0373106335,1983,"['Fiction, Romance, Contemporary']",harlequin,English
0440228832,1999,"['Courage', 'Fantasy']",Yearling,English
0373169299,2002,"['Fiction, romance, regional']",harlequin,English
0373226861,2002,"['Fiction, romance, general']",Harlequin Books,unknown
0380719142,1991,"['Depressions', 'Land use']",Avon Books,English
0312857896,1995,"['Fiction, science fiction, general', 'Fiction, fantasy, general']",TOR,English
8484501620,1996,"['single women', 'Diary fiction']","Plaza & Janes S.A.,Spain",Spanish
0515132640,2002,"['Fiction', 'Fiction, general']",Jove Books,English
037322365X,1996,"['Fiction, romance, suspense', 'Florida, fiction']",Harlequin,English
3293201911,2000,,Unionsverlag,German
0312857004,1996,"['Fiction', 'History']",Forge,English
0380719002,1992,"[""Children's fiction"", 'World war, 1939-1945, fiction']",HarperColl,English
0515132381,2002,"['Fiction', 'Romance']",Jove Books,English
0440436834,1984,"['Juvenile fiction', 'Fiction']",Dell,English
0440437423,1974,"['Magic', 'Fiction']",Dell Yearling,English
0373224532,1998,"['Bodyguards', 'Police']",Harlequin,English
2290309303,2001,"['Humorous stories', 'Food relief']",J'ai lu,French
0440466253,1991,"['Brothers and sisters', 'Juvenile fiction']",Dell Pub.,English
0007154607,2004,"['Teenage girls', 'Fiction']",Fourth Estate,English
0380715937,1991,"['Fiction', 'History']",Avon Books,English
0373218753,2003,"['Officers', 'Fiction']",Silhouette Books,English
0312858132,1994,"['Fiction', 'Irish Americans']",Forge,English
0380723379,1994,"['Pet owners', 'Cats']",Avon Books,English
3442725577,2002,,BTB,German
0515136387,2004,"['Fiction, horror']",Jove Books,English
3442725453,2001,,btb-Verlag,German
0440407737,1993,"['Fantasy', ""Children's fiction""]",Yearling,English
0380723344,1995,"['Fiction', 'Women detectives']",Avon Books (Mm),English
0515135747,2003,"['Medical novels', 'Legal stories']",Jove Books,English
2038701962,1985,"['Continental european drama (dramatic works by one author)', 'Ubu roi (Jarry, Alfred)']",Larousse,French
0440409160,1994,,Yearling,English
0060264594,1996,"['Juvenile fiction', 'Fiction']",HarperCollins Publishers,English
2070324540,1987,"['Religion', 'Philosophy']",Gallimard,French
8440670648,1997,,Ediciones B,Spanish
0515134023,2002,"['Fiction', 'Fiction, romance, historical, general']",Jove Books,English
3442724597,2002,"['Fiction', 'Police']",btb,German
0440412994,1997,"['Fiction', 'Dogs']",Bantam Doubleday Dell Books for Young Readers,English
0440413052,1999,"['Conduct of life', 'Juvenile fiction']",Laurel Leaf,English
0440413699,1978,"['Humorous stories', 'Chocolate']",Yearling,English
0307128555,1992,"['Fossils', 'Juvenile literature']",Western Pub. Co.,English
